selected,1906877.java,64,72,,F,CR,
selected,166831.java,379,388,,F,,
selected,501016.java,897,907,,F,,
selected,2472438.java,888,898,,F,,
selected,684312.java,49,62,,F,CR,
selected,920276.java,31,42,,F,,
selected,2383757.java,319,333,,F,,
selected,501016.java,827,838,,F,,
selected,2472438.java,817,828,,F,,
selected,734567.java,14,24,,F,,
sample,CopyFileSamples.java,42,53,3,T,,
selected,89635.java,67,81,,F,CR,
sample,CopyFileSamples.java,63,69,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,Q,,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,
selected,2282501.java,15,25,3,T,,
selected,14032.java,23,34,3,T,,
selected,853582.java,50,59,3,T,,
selected,943597.java,15,20,3,T,,
selected,2626685.java,112,126,3,T,,
sample,ScreenShot.java,14,20,Q,,,
selected,2364940.java,31,40,3,T,,
selected,1178310.java,391,403,3,T,,
default,22142.java,8,21,3,T,,
selected,1090656.java,27,33,3,T,,
default,97227.java,20,32,3,T,,
default,128086.java,8,22,3,T,,
default,45575.java,19,32,3,T,,
selected,796100.java,61,71,3,T,,
selected,1587412.java,170,182,3,T,,
default,60142.java,118,134,3,T,,
selected,2348055.java,163,188,3,T,,
selected,1303102.java,19,32,3,T,,
selected,190087.java,454,468,3,T,,
selected,512334.java,46,60,,F,,
selected,2364940.java,45,51,3,T,,
sample,DownloadWebpage.java,20,30,Q,,,
sample,DownloadWebpage.java,55,67,3,T,,
sample,DownloadWebpage.java,32,53,3,T,,
selected,129106.java,331,343,,F,,
selected,237460.java,240,249,3,T,CR,
selected,1688089.java,265,274,,F,,
selected,113970.java,265,274,,F,,
selected,1070572.java,69,78,,F,,
selected,756606.java,328,337,3,T,CR,
selected,1063147.java,425,434,3,T,CR,
selected,595798.java,23,33,3,T,CR,
selected,237460.java,259,268,3,T,CR,
selected,1688089.java,284,293,3,T,CR,
selected,113970.java,284,293,3,T,CR,
selected,953702.java,15,32,3,T,,
selected,2447493.java,15,32,3,T,,
sample,GCD.java,24,32,Q,,,
default,6176.java,95,100,3,T,,
selected,1397520.java,50,56,3,T,CR,
selected,406250.java,276,285,2,T,CR,
selected,1757323.java,259,268,2,T,CR,
selected,50594.java,90,99,,F,CR,?? Found LCM instead
selected,1245038.java,275,283,3,T,CR,** look different
selected,2263766.java,7,20,3,T,CR,
selected,941917.java,49,57,,F,,
selected,1877315.java,318,329,,F,,
selected,2698515.java,9,14,,F,,
selected,1671140.java,17,24,3,T,,
selected,701788.java,21,27,,F,,
selected,1014156.java,93,103,,F,,
selected,870743.java,15,21,,F,,
selected,2529987.java,56,62,,F,,
sample,TransposeMatrix.java,4,12,Q,,,
selected,994733.java,242,250,3,T,,
selected,1706233.java,487,495,3,T,,
selected,240671.java,787,795,3,T,,
selected,2364886.java,1221,1229,3,T,,
selected,1119061.java,62,70,3,T,,
selected,1440276.java,162,170,3,T,,
selected,515120.java,1754,1762,3,T,,
selected,240671.java,771,779,3,T,,
selected,1268821.java,193,201,3,T,,
selected,1202455.java,7,15,3,T,,
selected,2557108.java,29,37,3,T,,
selected,2149595.java,220,228,3,T,,
selected,2497703.java,387,395,3,T,,
selected,2098840.java,75,83,3,T,,
selected,395317.java,124,132,3,T,,
sample,PlaySound.java,21,26,Q,,,
selected,2722993.java,42,47,,F,,
selected,2206939.java,17,26,3,T,,
selected,2206939.java,14,28,3,T,,
selected,1298966.java,67,80,3,T,CR,
selected,631271.java,17,26,3,T,,
selected,2560264.java,17,26,3,T,,
selected,1383459.java,26,34,3,T,,
sample,PlaySound.java,29,44,3,T,,
selected,631271.java,14,28,3,T,,
selected,2560264.java,14,28,3,T,,
selected,568878.java,33,38,,F,,
selected,2122332.java,55,60,,F,,
selected,716222.java,208,213,,F,,
selected,2673192.java,25,34,,F,,
selected,1727677.java,46,52,,F,,
sample,BubbleSort.java,238,254,Q,,,
sample,BubbleSort.java,21,37,3,T,,
sample,BubbleSort.java,165,181,3,T,,
sample,BubbleSort.java,129,145,3,T,,
sample,BubbleSort.java,57,73,3,T,,
sample,BubbleSort.java,93,109,3,T,,
sample,BubbleSort.java,201,217,3,T,,
sample,BubbleSort.java,219,236,3,T,,
selected,1872351.java,5,18,3,T,CR,
selected,1107941.java,295,311,3,T,CR,**
selected,2060848.java,59,72,,F,,
selected,260759.java,19,33,,F,,
selected,1521892.java,5,16,,F,,
selected,1681937.java,11,24,,F,,
selected,419242.java,5,19,3,T,,
selected,260759.java,44,60,,F,,
sample,CallMethodUsingReflection.java,47,52,Q,,,
selected,2531566.java,85,92,,F,,
selected,1578438.java,217,227,,F,CR,
selected,971667.java,56,63,,F,,
selected,592954.java,38,49,3,T,CR,** still can match even quite different
selected,592954.java,25,36,3,T,CR,** still can match even quite different
selected,2448150.java,63,76,,F,CR,
selected,2121168.java,104,130,,F,CR,
selected,2526596.java,325,334,,F,,
selected,2492950.java,116,124,3,T,CR,** still can match even quite different
selected,2084427.java,35,52,,F,CR,
selected,2598088.java,20,59,,F,,
selected,1527539.java,562,621,,F,,
selected,1400827.java,78,107,,F,,
selected,2207135.java,110,118,,F,,
sample,CallMethodUsingReflection.java,20,26,3,T,,
sample,PrimeFactors.java,6,16,Q,,,
selected,50360.java,8,18,2,T,,
sample,PrimeFactors.java,18,28,2,T,,
selected,2125324.java,110,123,3,T,,
selected,1794459.java,8,21,3,T,,
selected,700821.java,127,139,3,T,,
selected,1171447.java,76,90,3,T,,
selected,949275.java,29,41,3,T,,
selected,2269578.java,7,18,3,T,,
selected,1638888.java,7,18,3,T,,
selected,1625179.java,7,18,3,T,,
selected,1344356.java,7,18,3,T,,
selected,69878.java,14,25,3,T,,
selected,1527257.java,54,76,,F,,
selected,2336390.java,72,84,,F,,
default,76566.java,7,16,,F,,
sample,BinarySearch.java,32,46,Q,,,
selected,2514455.java,9,17,3,T,,
selected,220170.java,10,18,3,T,,
sample,BinarySearch.java,48,61,3,T,,
selected,1524785.java,106,120,,F,,
selected,1524785.java,90,104,,F,,
default,54860.java,45,54,,F,,
selected,555290.java,80,87,3,T,,
selected,2004523.java,86,94,3,T,,
selected,2465371.java,256,265,3,T,,
selected,1907234.java,1054,1063,3,T,,
selected,1183324.java,8,17,3,T,,
selected,936827.java,146,155,3,T,,
selected,2465371.java,108,117,3,T,,
selected,2465371.java,139,148,3,T,,
selected,2465371.java,287,296,3,T,,
sample,ZipFiles.java,11,39,Q,,,
selected,249118.java,28,46,3,T,,
selected,407139.java,365,382,3,T,,
selected,818894.java,137,147,,F,CR,
selected,624262.java,98,115,3,T,,
selected,1451011.java,442,455,3,T,,
selected,2082697.java,43,55,3,T,,
selected,2394081.java,194,234,3,T,,
selected,1636296.java,194,234,3,T,,
selected,2086614.java,39,61,3,T,,
selected,1228025.java,39,61,3,T,,
selected,1859504.java,278,290,3,T,,
default,74458.java,319,361,3,T,,
default,134472.java,317,359,3,T,,
selected,1459247.java,72,92,3,T,,
selected,917932.java,177,190,3,T,,
sample,FileChooser.java,38,65,Q,,,
sample,FileChooser.java,9,36,2,T,,
sample,FileChooser.java,67,94,3,T,,
sample,FileChooser.java,96,123,3,T,,
selected,2174721.java,90,107,3,T,CR,
selected,121433.java,14,27,,F,,
selected,311720.java,105,114,,F,,
selected,2062971.java,79,91,,F,,
selected,731569.java,118,131,,F,,
selected,2736437.java,229,242,,F,,
selected,2119641.java,59,72,,F,,
selected,184446.java,384,397,,F,,
selected,364620.java,29,37,,F,,
selected,2628336.java,172,182,3,T,CR,
selected,241515.java,721,735,,F,,
selected,1854089.java,1140,1154,,F,,
sample,BinarySearch.java,48,61,Q,,,
sample,BinarySearch.java,32,46,3,T,,
selected,2514455.java,9,17,3,T,,
selected,220170.java,10,18,3,T,,
selected,1559389.java,299,310,,F,,
default,54860.java,45,54,,F,,
selected,976148.java,11,22,3,T,CR,
default,120095.java,28,36,,F,,
sample,BinarySearch.java,19,30,3,T,,
selected,2328756.java,86,95,,F,,
selected,2465371.java,324,334,3,T,,
selected,1907234.java,1270,1280,3,T,,
selected,486470.java,58,68,3,T,CR,
selected,486470.java,70,80,3,T,CR,
selected,2630139.java,181,190,,F,,
selected,427155.java,1378,1388,,F,,
sample,FTP_FTP4J_Samples.java,15,20,Q,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,
selected,853582.java,50,59,3,T,,
selected,14032.java,23,34,3,T,,
selected,444208.java,52,57,,F,,
selected,1896742.java,52,57,,F,,
default,35691.java,95,105,,F,,
